year,artist,time,track,date,week,rank
2000,2 Pac,04:22:00,Baby Don't Cry,2000-02-26,1,87
2000,2 Pac,04:22:00,Baby Don't Cry,2000-03-04,2,82
2000,2 Pac,04:22:00,Baby Don't Cry,2000-03-11,3,72
2000,2 Pac,04:22:00,Baby Don't Cry,2000-03-18,4,77
2000,2 Pac,04:22:00,Baby Don't Cry,2000-03-25,5,87
2000,2 Pac,04:22:00,Baby Don't Cry,2000-04-01,6,94
2000,2 Pac,04:22:00,Baby Don't Cry,2000-04-08,7,99
2000,2 Pac,04:22:00,Baby Don't Cry,2000-04-15,8,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-04-22,9,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-04-29,10,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-05-06,11,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-05-13,12,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-05-20,13,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-05-27,14,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-06-03,15,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-06-10,16,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-06-17,17,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-06-24,18,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-07-01,19,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-07-08,20,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-07-15,21,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-07-22,22,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-07-29,23,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-08-05,24,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-08-12,25,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-08-19,26,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-08-26,27,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-09-02,28,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-09-09,29,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-09-16,30,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-09-23,31,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-09-30,32,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-10-07,33,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-10-14,34,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-10-21,35,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-10-28,36,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-11-04,37,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-11-11,38,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-11-18,39,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-11-25,40,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-12-02,41,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-12-09,42,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-12-16,43,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-12-23,44,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2000-12-30,45,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-01-06,46,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-01-13,47,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-01-20,48,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-01-27,49,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-02-03,50,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-02-10,51,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-02-17,52,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-02-24,53,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-03-03,54,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-03-10,55,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-03-17,56,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-03-24,57,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-03-31,58,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-04-07,59,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-04-14,60,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-04-21,61,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-04-28,62,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-05-05,63,NA
2000,2 Pac,04:22:00,Baby Don't Cry,2001-05-12,64,NA
