artist,track,time,id
2 Pac,Baby Don't Cry,04:22:00,1
2Ge+her,The Hardest Part Of ...,03:15:00,2
3 Doors Down,Kryptonite,03:53:00,3
3 Doors Down,Loser,04:24:00,4
504 Boyz,Wobble Wobble,03:35:00,5
98?,Give Me Just One Nig...,03:24:00,6
A*Teens,Dancing Queen,03:44:00,7
Aaliyah,I Don't Wanna,04:15:00,8
Aaliyah,Try Again,04:03:00,9
"Adams, Yolanda",Open My Heart,05:30:00,10
"Adkins, Trace",More,03:05:00,11
"Aguilera, Christina",Come On Over Baby,03:38:00,12
"Aguilera, Christina",I Turn To You,04:00:00,13
"Aguilera, Christina",What A Girl Wants,03:18:00,14
Alice Deejay,Better Off Alone,06:50:00,15
"Allan, Gary",Smoke Rings In The D...,04:18:00,16
Amber,Sexual,04:38:00,17
Anastacia,I'm Outta Love,04:01:00,18
"Anthony, Marc",My Baby You,03:59:00,19
"Anthony, Marc",You Sang To Me,03:50:00,20
Avant,My First Love,04:28:00,21
Avant,Separated,04:13:00,22
"Backstreet Boys, The",Shape Of My Heart,03:49:00,23
"Backstreet Boys, The",Show Me The Meaning ...,03:54:00,24
"Backstreet Boys, The",The One,03:46:00,25
"Badu, Erkyah",Bag Lady,05:03:00,26
Baha Men,Who Let The Dogs Out,03:17:00,27
Barenaked Ladies,Pinch Me,03:46:00,28
BBMak,Back Here,03:35:00,29
Beenie Man,Girls Dem Sugar,04:17:00,30
Before Dark,Monica,04:04:00,31
"Bega, Lou",Tricky Tricky,03:23:00,32
Big Punisher,It's So Hard,03:25:00,33
Black Rob,Whoa!,04:04:00,34
"Black, Clint",Been There,05:28:00,35
Blaque,Bring It All To Me,03:46:00,36
"Blige, Mary J.",Deep Inside,05:26:00,37
"Blige, Mary J.",Give Me You,05:00:00,38
Blink-182,All The Small Things,02:52:00,39
Bloodhound Gang,The Bad Touch,04:20:00,40
Bon Jovi,It's My Life,03:44:00,41
"Braxton, Toni",He Wasn't Man Enough,04:21:00,42
"Braxton, Toni",Just Be A Man About ...,04:10:00,43
"Braxton, Toni",Spanish Guitar,04:24:00,44
"Brock, Chad",A Country Boy Can Su...,03:54:00,45
"Brock, Chad",Yes!,03:22:00,46
Brooks & Dunn,You'll Always Be Lov...,02:58:00,47
"Brooks, Garth",Do What You Gotta Do,02:56:00,48
"Byrd, Tracy",Put Your Hand In Min...,04:30:00,49
"Cagle, Chris",My Love Goes On And ...,03:02:00,50
Cam'ron,What Means The World...,04:38:00,51
"Carey, Mariah",Crybaby,05:19:00,52
"Carey, Mariah",Thank God I Found Yo...,04:14:00,53
