id,date,week,rank
1,2000-02-26,1,87
1,2000-03-04,2,82
1,2000-03-11,3,72
1,2000-03-18,4,77
1,2000-03-25,5,87
1,2000-04-01,6,94
1,2000-04-08,7,99
1,2000-04-15,8,NA
1,2000-04-22,9,NA
1,2000-04-29,10,NA
1,2000-05-06,11,NA
1,2000-05-13,12,NA
1,2000-05-20,13,NA
1,2000-05-27,14,NA
1,2000-06-03,15,NA
1,2000-06-10,16,NA
1,2000-06-17,17,NA
1,2000-06-24,18,NA
1,2000-07-01,19,NA
1,2000-07-08,20,NA
1,2000-07-15,21,NA
1,2000-07-22,22,NA
1,2000-07-29,23,NA
1,2000-08-05,24,NA
1,2000-08-12,25,NA
1,2000-08-19,26,NA
1,2000-08-26,27,NA
1,2000-09-02,28,NA
1,2000-09-09,29,NA
1,2000-09-16,30,NA
1,2000-09-23,31,NA
1,2000-09-30,32,NA
1,2000-10-07,33,NA
1,2000-10-14,34,NA
1,2000-10-21,35,NA
1,2000-10-28,36,NA
1,2000-11-04,37,NA
1,2000-11-11,38,NA
1,2000-11-18,39,NA
1,2000-11-25,40,NA
1,2000-12-02,41,NA
1,2000-12-09,42,NA
1,2000-12-16,43,NA
1,2000-12-23,44,NA
1,2000-12-30,45,NA
1,2001-01-06,46,NA
1,2001-01-13,47,NA
1,2001-01-20,48,NA
1,2001-01-27,49,NA
1,2001-02-03,50,NA
1,2001-02-10,51,NA
1,2001-02-17,52,NA
1,2001-02-24,53,NA
1,2001-03-03,54,NA
1,2001-03-10,55,NA
1,2001-03-17,56,NA
1,2001-03-24,57,NA
1,2001-03-31,58,NA
1,2001-04-07,59,NA
1,2001-04-14,60,NA
1,2001-04-21,61,NA
1,2001-04-28,62,NA
1,2001-05-05,63,NA
1,2001-05-12,64,NA
1,2001-05-19,65,NA
1,2001-05-26,66,NA
1,2001-06-02,67,NA
1,2001-06-09,68,NA
1,2001-06-16,69,NA
1,2001-06-23,70,NA
1,2001-06-30,71,NA
1,2001-07-07,72,NA
1,2001-07-14,73,NA
1,2001-07-21,74,NA
1,2001-07-28,75,NA
1,2001-08-04,76,NA
2,2000-09-02,1,91
2,2000-09-09,2,87
2,2000-09-16,3,92
2,2000-09-23,4,NA
2,2000-09-30,5,NA
2,2000-10-07,6,NA
2,2000-10-14,7,NA
2,2000-10-21,8,NA
2,2000-10-28,9,NA
2,2000-11-04,10,NA
2,2000-11-11,11,NA
2,2000-11-18,12,NA
2,2000-11-25,13,NA
2,2000-12-02,14,NA
2,2000-12-09,15,NA
2,2000-12-16,16,NA
2,2000-12-23,17,NA
2,2000-12-30,18,NA
2,2001-01-06,19,NA
2,2001-01-13,20,NA
2,2001-01-20,21,NA
2,2001-01-27,22,NA
2,2001-02-03,23,NA
2,2001-02-10,24,NA
2,2001-02-17,25,NA
2,2001-02-24,26,NA
2,2001-03-03,27,NA
2,2001-03-10,28,NA
2,2001-03-17,29,NA
2,2001-03-24,30,NA
2,2001-03-31,31,NA
2,2001-04-07,32,NA
2,2001-04-14,33,NA
2,2001-04-21,34,NA
2,2001-04-28,35,NA
2,2001-05-05,36,NA
2,2001-05-12,37,NA
2,2001-05-19,38,NA
2,2001-05-26,39,NA
2,2001-06-02,40,NA
2,2001-06-09,41,NA
2,2001-06-16,42,NA
2,2001-06-23,43,NA
2,2001-06-30,44,NA
2,2001-07-07,45,NA
2,2001-07-14,46,NA
2,2001-07-21,47,NA
2,2001-07-28,48,NA
2,2001-08-04,49,NA
2,2001-08-11,50,NA
2,2001-08-18,51,NA
2,2001-08-25,52,NA
2,2001-09-01,53,NA
2,2001-09-08,54,NA
2,2001-09-15,55,NA
2,2001-09-22,56,NA
2,2001-09-29,57,NA
2,2001-10-06,58,NA
2,2001-10-13,59,NA
2,2001-10-20,60,NA
2,2001-10-27,61,NA
2,2001-11-03,62,NA
2,2001-11-10,63,NA
2,2001-11-17,64,NA
2,2001-11-24,65,NA
2,2001-12-01,66,NA
2,2001-12-08,67,NA
2,2001-12-15,68,NA
2,2001-12-22,69,NA
2,2001-12-29,70,NA
2,2002-01-05,71,NA
2,2002-01-12,72,NA
2,2002-01-19,73,NA
2,2002-01-26,74,NA
2,2002-02-02,75,NA
2,2002-02-09,76,NA
3,2000-04-08,1,81
